param.APEX_SCORE_BOOST,param.COOLDOWN_SEC,param.ENTRY_MIN_SCORE,param.MIN_OBS_BUYERS,param.MIN_OBS_UNIQUE,param.SAME_FUNDER_FATAL,param.SAME_FUNDER_LIMIT,trades,winrate,total_pnl_sol,max_drawdown,avg_hold_sec,pnl_by_origin
20,60,20,1,1,0.9,0.6,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,20,1,1,0.9,0.65,42,0.452381,-0.01048464,2.142799,110.357,"{""pumpfun"":-0.010484644481319116}"
20,60,20,1,1,0.9,0.7,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,20,1,1,0.9,0.75,43,0.465116,-0.00805645,1.982128,112.628,"{""pumpfun"":-0.008056445674129241}"
20,60,20,1,2,0.9,0.6,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,20,1,2,0.9,0.65,42,0.452381,-0.01048464,2.142799,110.357,"{""pumpfun"":-0.010484644481319116}"
20,60,20,1,2,0.9,0.7,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,20,1,2,0.9,0.75,43,0.465116,-0.00805645,1.982128,112.628,"{""pumpfun"":-0.008056445674129241}"
20,60,20,2,1,0.9,0.6,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,20,2,1,0.9,0.65,42,0.452381,-0.01048464,2.142799,110.357,"{""pumpfun"":-0.010484644481319116}"
20,60,20,2,1,0.9,0.7,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,20,2,1,0.9,0.75,43,0.465116,-0.00805645,1.982128,112.628,"{""pumpfun"":-0.008056445674129241}"
20,60,20,2,2,0.9,0.6,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,20,2,2,0.9,0.65,42,0.452381,-0.01048464,2.142799,110.357,"{""pumpfun"":-0.010484644481319116}"
20,60,20,2,2,0.9,0.7,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,20,2,2,0.9,0.75,43,0.465116,-0.00805645,1.982128,112.628,"{""pumpfun"":-0.008056445674129241}"
20,60,20,3,1,0.9,0.6,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,20,3,1,0.9,0.65,42,0.452381,-0.01048464,2.142799,110.357,"{""pumpfun"":-0.010484644481319116}"
20,60,20,3,1,0.9,0.7,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,20,3,1,0.9,0.75,43,0.465116,-0.00805645,1.982128,112.628,"{""pumpfun"":-0.008056445674129241}"
20,60,20,3,2,0.9,0.6,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,20,3,2,0.9,0.65,42,0.452381,-0.01048464,2.142799,110.357,"{""pumpfun"":-0.010484644481319116}"
20,60,20,3,2,0.9,0.7,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,20,3,2,0.9,0.75,43,0.465116,-0.00805645,1.982128,112.628,"{""pumpfun"":-0.008056445674129241}"
20,60,25,1,1,0.9,0.6,41,0.439024,-0.07663662,3.241507,112.220,"{""pumpfun"":-0.0766366236307995}"
20,60,25,1,1,0.9,0.65,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,25,1,1,0.9,0.7,41,0.439024,-0.02319762,2.310520,112.707,"{""pumpfun"":-0.02319762201867554}"
20,60,25,1,1,0.9,0.75,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,25,1,2,0.9,0.6,41,0.439024,-0.07663662,3.241507,112.220,"{""pumpfun"":-0.0766366236307995}"
20,60,25,1,2,0.9,0.65,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,25,1,2,0.9,0.7,41,0.439024,-0.02319762,2.310520,112.707,"{""pumpfun"":-0.02319762201867554}"
20,60,25,1,2,0.9,0.75,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,25,2,1,0.9,0.6,41,0.439024,-0.07663662,3.241507,112.220,"{""pumpfun"":-0.0766366236307995}"
20,60,25,2,1,0.9,0.65,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,25,2,1,0.9,0.7,41,0.439024,-0.02319762,2.310520,112.707,"{""pumpfun"":-0.02319762201867554}"
20,60,25,2,1,0.9,0.75,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,25,2,2,0.9,0.6,41,0.439024,-0.07663662,3.241507,112.220,"{""pumpfun"":-0.0766366236307995}"
20,60,25,2,2,0.9,0.65,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,25,2,2,0.9,0.7,41,0.439024,-0.02319762,2.310520,112.707,"{""pumpfun"":-0.02319762201867554}"
20,60,25,2,2,0.9,0.75,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,25,3,1,0.9,0.6,41,0.439024,-0.07663662,3.241507,112.220,"{""pumpfun"":-0.0766366236307995}"
20,60,25,3,1,0.9,0.65,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,25,3,1,0.9,0.7,41,0.439024,-0.02319762,2.310520,112.707,"{""pumpfun"":-0.02319762201867554}"
20,60,25,3,1,0.9,0.75,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,25,3,2,0.9,0.6,41,0.439024,-0.07663662,3.241507,112.220,"{""pumpfun"":-0.0766366236307995}"
20,60,25,3,2,0.9,0.65,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,25,3,2,0.9,0.7,41,0.439024,-0.02319762,2.310520,112.707,"{""pumpfun"":-0.02319762201867554}"
20,60,25,3,2,0.9,0.75,42,0.452381,-0.02973565,2.386965,110.357,"{""pumpfun"":-0.029735649824658615}"
20,60,30,1,1,0.9,0.6,41,0.439024,-0.07663662,3.241507,112.220,"{""pumpfun"":-0.0766366236307995}"
20,60,30,1,1,0.9,0.65,41,0.439024,-0.07663662,3.241507,112.220,"{""pumpfun"":-0.0766366236307995}"
20,60,30,1,1,0.9,0.7,41,0.439024,-0.05119033,3.087051,112.707,"{""pumpfun"":-0.051190326304162245}"
20,60,30,1,1,0.9,0.75,41,0.439024,-0.04744500,2.728184,112.707,"{""pumpfun"":-0.04744499722039506}"
20,60,30,1,2,0.9,0.6,41,0.439024,-0.07663662,3.241507,112.220,"{""pumpfun"":-0.0766366236307995}"
20,60,30,1,2,0.9,0.65,41,0.439024,-0.07663662,3.241507,112.220,"{""pumpfun"":-0.0766366236307995}"
