param.APEX_SCORE_BOOST,param.COOLDOWN_SEC,param.ENTRY_MIN_SCORE,param.MIN_OBS_BUYERS,param.MIN_OBS_UNIQUE,param.SAME_FUNDER_FATAL,param.SAME_FUNDER_LIMIT,trades,winrate,total_pnl_sol,max_drawdown,avg_hold_sec,pnl_by_origin
20,60,20,1,1,0.9,0.55,37,0.459459,-0.02634918,1.349967,135.108,"{""pumpfun"":-0.026349178696661948}"
20,60,20,1,1,0.9,0.6,37,0.459459,-0.02568170,1.561910,135.108,"{""pumpfun"":-0.02568169541013998}"
20,60,20,1,1,0.9,0.65,38,0.473684,0.02472104,1.053727,131.921,"{""pumpfun"":0.0247210396321972}"
20,60,20,1,1,0.9,0.7,38,0.473684,-0.00262352,1.150128,131.921,"{""pumpfun"":-0.002623521873921484}"
20,60,20,1,1,0.9,0.75,39,0.487179,0.01905568,0.961719,133.872,"{""pumpfun"":0.019055682276607887}"
20,60,20,1,2,0.9,0.55,37,0.459459,-0.02634918,1.349967,135.108,"{""pumpfun"":-0.026349178696661948}"
20,60,20,1,2,0.9,0.6,37,0.459459,-0.02568170,1.561910,135.108,"{""pumpfun"":-0.02568169541013998}"
20,60,20,1,2,0.9,0.65,38,0.473684,0.02472104,1.053727,131.921,"{""pumpfun"":0.0247210396321972}"
20,60,20,1,2,0.9,0.7,38,0.473684,-0.00262352,1.150128,131.921,"{""pumpfun"":-0.002623521873921484}"
20,60,20,1,2,0.9,0.75,39,0.487179,0.01905568,0.961719,133.872,"{""pumpfun"":0.019055682276607887}"
20,60,20,1,3,0.9,0.55,36,0.472222,-0.01109958,1.281110,134.056,"{""pumpfun"":-0.011099582423969107}"
20,60,20,1,3,0.9,0.6,37,0.459459,0.01181658,1.202837,134.568,"{""pumpfun"":0.011816578965660587}"
20,60,20,1,3,0.9,0.65,38,0.473684,0.02952593,1.013493,131.395,"{""pumpfun"":0.02952592636139704}"
20,60,20,1,3,0.9,0.7,38,0.473684,0.01816077,0.960073,131.921,"{""pumpfun"":0.018160773493221434}"
20,60,20,1,3,0.9,0.75,38,0.473684,0.01816077,0.960073,131.921,"{""pumpfun"":0.018160773493221434}"
20,60,20,2,1,0.9,0.55,37,0.459459,-0.02634918,1.349967,135.108,"{""pumpfun"":-0.026349178696661948}"
20,60,20,2,1,0.9,0.6,37,0.459459,-0.02568170,1.561910,135.108,"{""pumpfun"":-0.02568169541013998}"
20,60,20,2,1,0.9,0.65,38,0.473684,0.02472104,1.053727,131.921,"{""pumpfun"":0.0247210396321972}"
20,60,20,2,1,0.9,0.7,38,0.473684,-0.00262352,1.150128,131.921,"{""pumpfun"":-0.002623521873921484}"
20,60,20,2,1,0.9,0.75,39,0.487179,0.01905568,0.961719,133.872,"{""pumpfun"":0.019055682276607887}"
