param.APEX_SCORE_BOOST,param.COOLDOWN_SEC,param.ENTRY_MIN_SCORE,param.MIN_OBS_BUYERS,param.MIN_OBS_UNIQUE,param.SAME_FUNDER_FATAL,param.SAME_FUNDER_LIMIT,trades,winrate,total_pnl_sol,max_drawdown,avg_hold_sec,pnl_by_origin
20,60,35,2,2,0.9,0.6,34,0.441176,-0.02256080,1.790593,131.824,"{""pumpfun"":-0.022560797116417283}"
20,60,35,2,2,0.9,0.65,35,0.457143,-0.02422882,1.615334,137.771,"{""pumpfun"":-0.024228816717290325}"
20,60,35,2,2,0.9,0.7,37,0.459459,-0.01851436,1.452880,134.459,"{""pumpfun"":-0.01851436036605858}"
20,60,35,2,3,0.9,0.6,33,0.393939,-0.05104691,2.359985,122.697,"{""pumpfun"":-0.0510469137019038}"
20,60,35,2,3,0.9,0.65,33,0.393939,-0.06454135,2.693261,132.364,"{""pumpfun"":-0.06454135279079666}"
20,60,35,2,3,0.9,0.7,35,0.457143,-0.02422882,1.615334,137.771,"{""pumpfun"":-0.024228816717290325}"
20,60,35,3,2,0.9,0.6,34,0.441176,-0.02256080,1.790593,131.824,"{""pumpfun"":-0.022560797116417283}"
20,60,35,3,2,0.9,0.65,35,0.457143,-0.02422882,1.615334,137.771,"{""pumpfun"":-0.024228816717290325}"
20,60,35,3,2,0.9,0.7,37,0.459459,-0.01851436,1.452880,134.459,"{""pumpfun"":-0.01851436036605858}"
20,60,35,3,3,0.9,0.6,33,0.393939,-0.05104691,2.359985,122.697,"{""pumpfun"":-0.0510469137019038}"
20,60,35,3,3,0.9,0.65,33,0.393939,-0.06454135,2.693261,132.364,"{""pumpfun"":-0.06454135279079666}"
20,60,35,3,3,0.9,0.7,35,0.457143,-0.02422882,1.615334,137.771,"{""pumpfun"":-0.024228816717290325}"
20,60,35,4,2,0.9,0.6,34,0.441176,-0.02256080,1.790593,131.824,"{""pumpfun"":-0.022560797116417283}"
20,60,35,4,2,0.9,0.65,35,0.457143,-0.02422882,1.615334,137.771,"{""pumpfun"":-0.024228816717290325}"
20,60,35,4,2,0.9,0.7,37,0.459459,-0.01851436,1.452880,134.459,"{""pumpfun"":-0.01851436036605858}"
20,60,35,4,3,0.9,0.6,33,0.393939,-0.05104691,2.359985,122.697,"{""pumpfun"":-0.0510469137019038}"
20,60,35,4,3,0.9,0.65,33,0.393939,-0.06454135,2.693261,132.364,"{""pumpfun"":-0.06454135279079666}"
20,60,35,4,3,0.9,0.7,35,0.457143,-0.02422882,1.615334,137.771,"{""pumpfun"":-0.024228816717290325}"
20,60,40,2,2,0.9,0.6,31,0.419355,-0.04559486,2.632691,123.226,"{""pumpfun"":-0.04559486010616192}"
20,60,40,2,2,0.9,0.65,34,0.441176,-0.02256080,1.790593,131.824,"{""pumpfun"":-0.022560797116417283}"
20,60,40,2,2,0.9,0.7,37,0.459459,-0.01851436,1.452880,134.459,"{""pumpfun"":-0.01851436036605858}"
20,60,40,2,3,0.9,0.6,31,0.419355,-0.04440258,2.604558,119.355,"{""pumpfun"":-0.044402583196768264}"
20,60,40,2,3,0.9,0.65,33,0.393939,-0.05104691,2.359985,122.697,"{""pumpfun"":-0.0510469137019038}"
20,60,40,2,3,0.9,0.7,33,0.393939,-0.06454135,2.693261,132.364,"{""pumpfun"":-0.06454135279079666}"
20,60,40,3,2,0.9,0.6,31,0.419355,-0.04559486,2.632691,123.226,"{""pumpfun"":-0.04559486010616192}"
20,60,40,3,2,0.9,0.65,34,0.441176,-0.02256080,1.790593,131.824,"{""pumpfun"":-0.022560797116417283}"
20,60,40,3,2,0.9,0.7,37,0.459459,-0.01851436,1.452880,134.459,"{""pumpfun"":-0.01851436036605858}"
20,60,40,3,3,0.9,0.6,31,0.419355,-0.04440258,2.604558,119.355,"{""pumpfun"":-0.044402583196768264}"
20,60,40,3,3,0.9,0.65,33,0.393939,-0.05104691,2.359985,122.697,"{""pumpfun"":-0.0510469137019038}"
20,60,40,3,3,0.9,0.7,33,0.393939,-0.06454135,2.693261,132.364,"{""pumpfun"":-0.06454135279079666}"
