param.APEX_SCORE_BOOST,param.COOLDOWN_SEC,param.ENTRY_MIN_SCORE,param.MIN_OBS_BUYERS,param.MIN_OBS_UNIQUE,param.SAME_FUNDER_FATAL,param.SAME_FUNDER_LIMIT,trades,winrate,total_pnl_sol,max_drawdown,avg_hold_sec,pnl_by_origin
20,60,55,5,4,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,5,4,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,5,4,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,5,5,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,5,5,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,5,5,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,5,6,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,5,6,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,5,6,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,6,4,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,6,4,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,6,4,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,6,5,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,6,5,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,6,5,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,6,6,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,6,6,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,6,6,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,7,4,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,7,4,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,7,4,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,7,5,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,7,5,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,7,5,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,7,6,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,7,6,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,55,7,6,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,5,4,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,5,4,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,5,4,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,5,5,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,5,5,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,5,5,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,5,6,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,5,6,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,5,6,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,6,4,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,6,4,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,6,4,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,6,5,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,6,5,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,6,5,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,6,6,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,6,6,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,6,6,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,7,4,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,7,4,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,7,4,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,7,5,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,7,5,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,7,5,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,7,6,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,7,6,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,60,7,6,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,5,4,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,5,4,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,5,4,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,5,5,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,5,5,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,5,5,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,5,6,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,5,6,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,5,6,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,6,4,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,6,4,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,6,4,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,6,5,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,6,5,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,6,5,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,6,6,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,6,6,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,6,6,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,7,4,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,7,4,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,7,4,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,7,5,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,7,5,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,7,5,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,7,6,0.75,0.65,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,7,6,0.75,0.7,0,0.000000,0.00000000,0.000000,0.000,{}
20,60,65,7,6,0.75,0.75,0,0.000000,0.00000000,0.000000,0.000,{}
