param.APEX_SCORE_BOOST,param.COOLDOWN_SEC,param.ENTRY_MIN_SCORE,param.MIN_OBS_BUYERS,param.MIN_OBS_UNIQUE,param.SAME_FUNDER_FATAL,param.SAME_FUNDER_LIMIT,trades,winrate,total_pnl_sol,max_drawdown,avg_hold_sec,pnl_by_origin
20,60,40,3,2,0.85,0.6,23,0.434783,0.03026193,0.773839,142.696,"{""pumpfun"":0.030261932337360423}"
20,60,40,3,2,0.85,0.65,24,0.416667,0.01179462,0.934865,140.417,"{""pumpfun"":0.011794619966138481}"
20,60,40,3,2,0.85,0.7,26,0.461538,0.01679681,0.934865,153.808,"{""pumpfun"":0.01679680801674896}"
20,60,40,3,2,0.85,0.75,26,0.461538,0.02251126,0.823786,159.077,"{""pumpfun"":0.02251126436798069}"
20,60,40,3,3,0.85,0.6,23,0.434783,0.02462998,0.906732,138.522,"{""pumpfun"":0.02462997779616126}"
20,60,40,3,3,0.85,0.65,24,0.416667,0.01861885,0.773839,139.417,"{""pumpfun"":0.018618851416731308}"
20,60,40,3,3,0.85,0.7,25,0.440000,0.01679681,0.934865,138.200,"{""pumpfun"":0.016796808003565478}"
20,60,40,3,3,0.85,0.75,26,0.461538,0.02251126,0.823786,159.077,"{""pumpfun"":0.02251126436798069}"
20,60,40,3,4,0.85,0.6,14,0.500000,0.04585387,0.734032,112.357,"{""pumpfun"":0.0458538680359675}"
20,60,40,3,4,0.85,0.65,14,0.500000,0.04585387,0.734032,112.357,"{""pumpfun"":0.0458538680359675}"
20,60,40,3,4,0.85,0.7,16,0.437500,0.03164382,0.734032,112.500,"{""pumpfun"":0.03164381542286297}"
20,60,40,3,4,0.85,0.75,16,0.437500,0.03164382,0.734032,112.500,"{""pumpfun"":0.03164381542286297}"
20,60,40,4,2,0.85,0.6,23,0.434783,0.03026193,0.773839,142.696,"{""pumpfun"":0.030261932337360423}"
20,60,40,4,2,0.85,0.65,24,0.416667,0.01179462,0.934865,140.417,"{""pumpfun"":0.011794619966138481}"
20,60,40,4,2,0.85,0.7,26,0.461538,0.01679681,0.934865,153.808,"{""pumpfun"":0.01679680801674896}"
20,60,40,4,2,0.85,0.75,26,0.461538,0.02251126,0.823786,159.077,"{""pumpfun"":0.02251126436798069}"
20,60,40,4,3,0.85,0.6,23,0.434783,0.02462998,0.906732,138.522,"{""pumpfun"":0.02462997779616126}"
20,60,40,4,3,0.85,0.65,24,0.416667,0.01861885,0.773839,139.417,"{""pumpfun"":0.018618851416731308}"
20,60,40,4,3,0.85,0.7,25,0.440000,0.01679681,0.934865,138.200,"{""pumpfun"":0.016796808003565478}"
20,60,40,4,3,0.85,0.75,26,0.461538,0.02251126,0.823786,159.077,"{""pumpfun"":0.02251126436798069}"
20,60,40,4,4,0.85,0.6,14,0.500000,0.04585387,0.734032,112.357,"{""pumpfun"":0.0458538680359675}"
20,60,40,4,4,0.85,0.65,14,0.500000,0.04585387,0.734032,112.357,"{""pumpfun"":0.0458538680359675}"
20,60,40,4,4,0.85,0.7,16,0.437500,0.03164382,0.734032,112.500,"{""pumpfun"":0.03164381542286297}"
20,60,40,4,4,0.85,0.75,16,0.437500,0.03164382,0.734032,112.500,"{""pumpfun"":0.03164381542286297}"
20,60,40,5,2,0.85,0.6,23,0.434783,0.03026193,0.773839,142.696,"{""pumpfun"":0.030261932337360423}"
20,60,40,5,2,0.85,0.65,24,0.416667,0.01179462,0.934865,140.417,"{""pumpfun"":0.011794619966138481}"
20,60,40,5,2,0.85,0.7,26,0.461538,0.01679681,0.934865,153.808,"{""pumpfun"":0.01679680801674896}"
20,60,40,5,2,0.85,0.75,26,0.461538,0.02251126,0.823786,159.077,"{""pumpfun"":0.02251126436798069}"
20,60,40,5,3,0.85,0.6,20,0.450000,0.03594933,1.217777,130.950,"{""pumpfun"":0.035949333827378215}"
20,60,40,5,3,0.85,0.65,21,0.428571,0.02993821,1.039297,132.333,"{""pumpfun"":0.029938207447948263}"
20,60,40,5,3,0.85,0.7,22,0.454545,0.02811616,1.255561,131.273,"{""pumpfun"":0.028116164034782433}"
20,60,40,5,3,0.85,0.75,23,0.478261,0.02811616,1.255561,149.217,"{""pumpfun"":0.028116164047965915}"
20,60,40,5,4,0.85,0.6,10,0.500000,0.02810040,0.920136,103.500,"{""pumpfun"":0.028100402604812717}"
20,60,40,5,4,0.85,0.65,10,0.500000,0.02810040,0.920136,103.500,"{""pumpfun"":0.028100402604812717}"
20,60,40,5,4,0.85,0.7,13,0.384615,0.00742106,0.929226,107.769,"{""pumpfun"":0.007421055510516654}"
20,60,40,5,4,0.85,0.75,13,0.384615,0.00742106,0.929226,107.769,"{""pumpfun"":0.007421055510516654}"
20,60,45,3,2,0.85,0.6,23,0.434783,0.03026193,0.773839,142.696,"{""pumpfun"":0.030261932337360423}"
20,60,45,3,2,0.85,0.65,24,0.416667,0.01179462,0.934865,140.417,"{""pumpfun"":0.011794619966138481}"
20,60,45,3,2,0.85,0.7,25,0.440000,0.01179462,0.934865,156.560,"{""pumpfun"":0.011794619979321963}"
20,60,45,3,2,0.85,0.75,26,0.461538,0.02251126,0.823786,159.077,"{""pumpfun"":0.02251126436798069}"
20,60,45,3,3,0.85,0.6,14,0.500000,0.04585387,0.734032,112.357,"{""pumpfun"":0.0458538680359675}"
