param.APEX_SCORE_BOOST,param.COOLDOWN_SEC,param.ENTRY_MIN_SCORE,param.MIN_OBS_BUYERS,param.MIN_OBS_UNIQUE,param.SAME_FUNDER_FATAL,param.SAME_FUNDER_LIMIT,trades,winrate,total_pnl_sol,max_drawdown,avg_hold_sec,pnl_by_origin
20,60,35,2,1,0.9,0.55,28,0.428571,0.01912225,1.093564,154.000,"{""pumpfun"":0.019122252629001715}"
20,60,35,2,1,0.9,0.6,30,0.433333,0.00941294,1.093564,167.933,"{""pumpfun"":0.009412939288325897}"
20,60,35,2,1,0.9,0.65,31,0.451613,0.00774492,1.016003,171.806,"{""pumpfun"":0.007744919687452861}"
20,60,35,2,1,0.9,0.7,32,0.437500,0.01345938,0.939852,170.719,"{""pumpfun"":0.013459376038684592}"
20,60,35,2,1,0.9,0.75,32,0.437500,0.01345938,0.939852,171.344,"{""pumpfun"":0.013459376038684592}"
20,60,35,2,2,0.9,0.55,28,0.428571,0.01912225,1.093564,154.000,"{""pumpfun"":0.019122252629001715}"
20,60,35,2,2,0.9,0.6,30,0.433333,0.00941294,1.093564,167.933,"{""pumpfun"":0.009412939288325897}"
20,60,35,2,2,0.9,0.65,31,0.451613,0.00774492,1.016003,171.806,"{""pumpfun"":0.007744919687452861}"
20,60,35,2,2,0.9,0.7,32,0.437500,0.01345938,0.939852,170.719,"{""pumpfun"":0.013459376038684592}"
20,60,35,2,2,0.9,0.75,32,0.437500,0.01345938,0.939852,171.344,"{""pumpfun"":0.013459376038684592}"
20,60,35,2,3,0.9,0.55,27,0.444444,0.03038252,0.933198,153.185,"{""pumpfun"":0.030382518075599326}"
20,60,35,2,3,0.9,0.6,29,0.413793,0.01623717,0.990416,154.138,"{""pumpfun"":0.01623717072573524}"
20,60,35,2,3,0.9,0.65,30,0.433333,0.00774492,1.016003,159.400,"{""pumpfun"":0.007744919674269379}"
20,60,35,2,3,0.9,0.7,31,0.451613,0.00774492,1.016003,171.806,"{""pumpfun"":0.007744919687452861}"
20,60,35,2,3,0.9,0.75,32,0.437500,0.01345938,0.939852,170.719,"{""pumpfun"":0.013459376038684592}"
20,60,35,2,4,0.9,0.55,18,0.500000,0.05318150,0.734032,142.389,"{""pumpfun"":0.053181500698830736}"
20,60,35,2,4,0.9,0.6,19,0.473684,0.04347219,0.734032,144.474,"{""pumpfun"":0.043472187344971436}"
