param.APEX_SCORE_BOOST,param.COOLDOWN_SEC,param.ENTRY_MIN_SCORE,param.MIN_OBS_BUYERS,param.MIN_OBS_UNIQUE,param.SAME_FUNDER_FATAL,param.SAME_FUNDER_LIMIT,trades,winrate,total_pnl_sol,max_drawdown,avg_hold_sec,pnl_by_origin
20,60,38,2,2,0.9,0.65,40,0.425000,-0.05584796,5.215576,102.375,"{""pumpfun"":-0.05584795923327967}"
20,60,38,2,2,0.9,0.7,42,0.428571,-0.04690234,2.722742,102.643,"{""pumpfun"":-0.04690234323176482}"
20,60,38,2,3,0.9,0.65,36,0.388889,-0.07514954,6.241619,91.278,"{""pumpfun"":-0.07514954429638418}"
20,60,38,2,3,0.9,0.7,39,0.358974,-0.11538806,7.940612,94.897,"{""pumpfun"":-0.11538805592227164}"
20,60,38,3,2,0.9,0.65,40,0.425000,-0.05584796,5.215576,102.375,"{""pumpfun"":-0.05584795923327967}"
20,60,38,3,2,0.9,0.7,42,0.428571,-0.04690234,2.722742,102.643,"{""pumpfun"":-0.04690234323176482}"
20,60,38,3,3,0.9,0.65,36,0.388889,-0.07514954,6.241619,91.278,"{""pumpfun"":-0.07514954429638418}"
20,60,38,3,3,0.9,0.7,39,0.358974,-0.11538806,7.940612,94.897,"{""pumpfun"":-0.11538805592227164}"
20,60,42,2,2,0.9,0.65,35,0.342857,-0.10240333,8.206521,89.371,"{""pumpfun"":-0.10240332579082073}"
20,60,42,2,2,0.9,0.7,41,0.414634,-0.06412556,5.215576,104.829,"{""pumpfun"":-0.06412556405158691}"
20,60,42,2,3,0.9,0.65,24,0.458333,0.01113483,1.692203,89.208,"{""pumpfun"":0.01113483055474279}"
20,60,42,2,3,0.9,0.7,27,0.444444,-0.00184990,1.692203,94.778,"{""pumpfun"":-0.0018498995799967628}"
20,60,42,3,2,0.9,0.65,35,0.342857,-0.10240333,8.206521,89.371,"{""pumpfun"":-0.10240332579082073}"
20,60,42,3,2,0.9,0.7,41,0.414634,-0.06412556,5.215576,104.829,"{""pumpfun"":-0.06412556405158691}"
20,60,42,3,3,0.9,0.65,24,0.458333,0.01113483,1.692203,89.208,"{""pumpfun"":0.01113483055474279}"
20,60,42,3,3,0.9,0.7,27,0.444444,-0.00184990,1.692203,94.778,"{""pumpfun"":-0.0018498995799967628}"
20,60,45,2,2,0.9,0.65,34,0.352941,-0.09552255,7.840749,91.118,"{""pumpfun"":-0.09552254522555317}"
20,60,45,2,2,0.9,0.7,40,0.425000,-0.05584796,5.215576,102.375,"{""pumpfun"":-0.05584795923327967}"
20,60,45,2,3,0.9,0.65,23,0.478261,0.01801561,1.692203,91.783,"{""pumpfun"":0.018015611120010357}"
20,60,45,2,3,0.9,0.7,26,0.461538,0.00642771,1.692203,90.615,"{""pumpfun"":0.006427705238310481}"
20,60,45,3,2,0.9,0.65,34,0.352941,-0.09552255,7.840749,91.118,"{""pumpfun"":-0.09552254522555317}"
20,60,45,3,2,0.9,0.7,40,0.425000,-0.05584796,5.215576,102.375,"{""pumpfun"":-0.05584795923327967}"
20,60,45,3,3,0.9,0.65,23,0.478261,0.01801561,1.692203,91.783,"{""pumpfun"":0.018015611120010357}"
20,60,45,3,3,0.9,0.7,26,0.461538,0.00642771,1.692203,90.615,"{""pumpfun"":0.006427705238310481}"
