param.APEX_SCORE_BOOST,param.COOLDOWN_SEC,param.ENTRY_MIN_SCORE,param.MIN_OBS_BUYERS,param.MIN_OBS_UNIQUE,param.SAME_FUNDER_FATAL,param.SAME_FUNDER_LIMIT,trades,winrate,total_pnl_sol,max_drawdown,avg_hold_sec,pnl_by_origin
20,60,30,1,1,0.9,0.6,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,1,1,0.9,0.65,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,1,1,0.9,0.7,35,0.428571,-0.02223949,1.524920,146.486,"{""pumpfun"":-0.022239485900332517}"
20,60,30,1,2,0.9,0.6,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,1,2,0.9,0.65,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,1,2,0.9,0.7,35,0.428571,-0.02223949,1.524920,146.486,"{""pumpfun"":-0.022239485900332517}"
20,60,30,1,3,0.9,0.6,32,0.375000,-0.04796991,1.674530,139.750,"{""pumpfun"":-0.04796990898766798}"
20,60,30,1,3,0.9,0.65,34,0.441176,-0.00765737,1.232787,146.412,"{""pumpfun"":-0.007657372914161631}"
20,60,30,1,3,0.9,0.7,35,0.428571,0.01525879,1.160140,145.914,"{""pumpfun"":0.015258788475468053}"
20,60,30,2,1,0.9,0.6,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,2,1,0.9,0.65,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,2,1,0.9,0.7,35,0.428571,-0.02223949,1.524920,146.486,"{""pumpfun"":-0.022239485900332517}"
20,60,30,2,2,0.9,0.6,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,2,2,0.9,0.65,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,2,2,0.9,0.7,35,0.428571,-0.02223949,1.524920,146.486,"{""pumpfun"":-0.022239485900332517}"
20,60,30,2,3,0.9,0.6,32,0.375000,-0.04796991,1.674530,139.750,"{""pumpfun"":-0.04796990898766798}"
20,60,30,2,3,0.9,0.65,34,0.441176,-0.00765737,1.232787,146.412,"{""pumpfun"":-0.007657372914161631}"
20,60,30,2,3,0.9,0.7,35,0.428571,0.01525879,1.160140,145.914,"{""pumpfun"":0.015258788475468053}"
20,60,30,3,1,0.9,0.6,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,3,1,0.9,0.65,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,3,1,0.9,0.7,35,0.428571,-0.02223949,1.524920,146.486,"{""pumpfun"":-0.022239485900332517}"
20,60,30,3,2,0.9,0.6,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,3,2,0.9,0.65,35,0.428571,-0.03961469,1.452565,145.914,"{""pumpfun"":-0.03961469044022069}"
20,60,30,3,2,0.9,0.7,35,0.428571,-0.02223949,1.524920,146.486,"{""pumpfun"":-0.022239485900332517}"
20,60,30,3,3,0.9,0.6,32,0.375000,-0.04796991,1.674530,139.750,"{""pumpfun"":-0.04796990898766798}"
20,60,30,3,3,0.9,0.65,34,0.441176,-0.00765737,1.232787,146.412,"{""pumpfun"":-0.007657372914161631}"
20,60,30,3,3,0.9,0.7,35,0.428571,0.01525879,1.160140,145.914,"{""pumpfun"":0.015258788475468053}"
20,60,30,4,1,0.9,0.6,35,0.428571,-0.02948205,1.499975,145.914,"{""pumpfun"":-0.02948204672515829}"
20,60,30,4,1,0.9,0.65,35,0.428571,-0.02948205,1.499975,145.914,"{""pumpfun"":-0.02948204672515829}"
20,60,30,4,1,0.9,0.7,35,0.428571,-0.01210684,1.527786,146.486,"{""pumpfun"":-0.012106842185270108}"
20,60,30,4,2,0.9,0.6,35,0.428571,-0.02948205,1.499975,145.914,"{""pumpfun"":-0.02948204672515829}"
20,60,30,4,2,0.9,0.65,35,0.428571,-0.02948205,1.499975,145.914,"{""pumpfun"":-0.02948204672515829}"
20,60,30,4,2,0.9,0.7,35,0.428571,-0.01210684,1.527786,146.486,"{""pumpfun"":-0.012106842185270108}"
20,60,30,4,3,0.9,0.6,32,0.375000,-0.07345168,2.151925,139.750,"{""pumpfun"":-0.07345167706753981}"
20,60,30,4,3,0.9,0.65,34,0.441176,-0.03313914,1.618399,146.412,"{""pumpfun"":-0.03313914099403348}"
20,60,30,4,3,0.9,0.7,35,0.428571,-0.01022298,1.504606,145.914,"{""pumpfun"":-0.010222979604403767}"
20,60,35,1,1,0.9,0.6,33,0.424242,-0.02083809,1.726097,142.121,"{""pumpfun"":-0.02083809089894639}"
20,60,35,1,1,0.9,0.65,34,0.441176,-0.02250611,1.562659,146.412,"{""pumpfun"":-0.02250611049981943}"
20,60,35,1,1,0.9,0.7,35,0.428571,-0.01679165,1.410128,145.914,"{""pumpfun"":-0.016791654148587687}"
20,60,35,1,2,0.9,0.6,33,0.424242,-0.02083809,1.726097,142.121,"{""pumpfun"":-0.02083809089894639}"
