param.APEX_SCORE_BOOST,param.COOLDOWN_SEC,param.ENTRY_MIN_SCORE,param.MIN_OBS_BUYERS,param.MIN_OBS_UNIQUE,param.SAME_FUNDER_FATAL,param.SAME_FUNDER_LIMIT,trades,winrate,total_pnl_sol,max_drawdown,avg_hold_sec,pnl_by_origin
20,60,35,2,2,0.9,0.6,39,0.410256,-0.04853544,4.826854,99.538,"{""pumpfun"":-0.04853544008979256}"
20,60,35,2,2,0.9,0.65,41,0.414634,-0.05181086,4.560945,101.707,"{""pumpfun"":-0.05181085687067281}"
20,60,35,2,2,0.9,0.7,42,0.428571,-0.03458764,2.380998,99.595,"{""pumpfun"":-0.03458763605085072}"
20,60,35,2,3,0.9,0.6,35,0.371429,-0.06783703,5.852897,87.800,"{""pumpfun"":-0.06783702515289708}"
20,60,35,2,3,0.9,0.65,38,0.342105,-0.10307335,7.285981,89.947,"{""pumpfun"":-0.10307334874464619}"
20,60,35,2,3,0.9,0.7,41,0.414634,-0.05181086,4.560945,101.707,"{""pumpfun"":-0.05181085687067281}"
20,60,35,3,2,0.9,0.6,39,0.410256,-0.04853544,4.826854,99.538,"{""pumpfun"":-0.04853544008979256}"
20,60,35,3,2,0.9,0.65,41,0.414634,-0.05181086,4.560945,101.707,"{""pumpfun"":-0.05181085687067281}"
20,60,35,3,2,0.9,0.7,42,0.428571,-0.03458764,2.380998,99.595,"{""pumpfun"":-0.03458763605085072}"
20,60,35,3,3,0.9,0.6,35,0.371429,-0.06783703,5.852897,87.800,"{""pumpfun"":-0.06783702515289708}"
20,60,35,3,3,0.9,0.65,38,0.342105,-0.10307335,7.285981,89.947,"{""pumpfun"":-0.10307334874464619}"
20,60,35,3,3,0.9,0.7,41,0.414634,-0.05181086,4.560945,101.707,"{""pumpfun"":-0.05181085687067281}"
20,60,35,4,2,0.9,0.6,39,0.410256,-0.04853544,4.826854,99.538,"{""pumpfun"":-0.04853544008979256}"
20,60,35,4,2,0.9,0.65,41,0.414634,-0.05181086,4.560945,101.707,"{""pumpfun"":-0.05181085687067281}"
20,60,35,4,2,0.9,0.7,42,0.428571,-0.03458764,2.380998,99.595,"{""pumpfun"":-0.03458763605085072}"
20,60,35,4,3,0.9,0.6,35,0.371429,-0.06783703,5.852897,87.800,"{""pumpfun"":-0.06783702515289708}"
20,60,35,4,3,0.9,0.65,38,0.342105,-0.10307335,7.285981,89.947,"{""pumpfun"":-0.10307334874464619}"
20,60,35,4,3,0.9,0.7,41,0.414634,-0.05181086,4.560945,101.707,"{""pumpfun"":-0.05181085687067281}"
20,60,40,2,2,0.9,0.6,34,0.352941,-0.08320784,7.186118,87.353,"{""pumpfun"":-0.08320783804463908}"
20,60,40,2,2,0.9,0.65,39,0.410256,-0.04853544,4.826854,99.538,"{""pumpfun"":-0.04853544008979256}"
20,60,40,2,2,0.9,0.7,42,0.428571,-0.03458764,2.380998,99.595,"{""pumpfun"":-0.03458763605085072}"
20,60,40,2,3,0.9,0.6,33,0.363636,-0.07473531,6.735731,88.545,"{""pumpfun"":-0.07473530513580093}"
20,60,40,2,3,0.9,0.65,35,0.371429,-0.06783703,5.852897,87.800,"{""pumpfun"":-0.06783702515289708}"
20,60,40,2,3,0.9,0.7,38,0.342105,-0.10307335,7.285981,89.947,"{""pumpfun"":-0.10307334874464619}"
20,60,40,3,2,0.9,0.6,34,0.352941,-0.08320784,7.186118,87.353,"{""pumpfun"":-0.08320783804463908}"
20,60,40,3,2,0.9,0.65,39,0.410256,-0.04853544,4.826854,99.538,"{""pumpfun"":-0.04853544008979256}"
20,60,40,3,2,0.9,0.7,42,0.428571,-0.03458764,2.380998,99.595,"{""pumpfun"":-0.03458763605085072}"
20,60,40,3,3,0.9,0.6,33,0.363636,-0.07473531,6.735731,88.545,"{""pumpfun"":-0.07473530513580093}"
20,60,40,3,3,0.9,0.65,35,0.371429,-0.06783703,5.852897,87.800,"{""pumpfun"":-0.06783702515289708}"
20,60,40,3,3,0.9,0.7,38,0.342105,-0.10307335,7.285981,89.947,"{""pumpfun"":-0.10307334874464619}"
20,60,40,4,2,0.9,0.6,34,0.352941,-0.08320784,7.186118,87.353,"{""pumpfun"":-0.08320783804463908}"
20,60,40,4,2,0.9,0.65,39,0.410256,-0.04853544,4.826854,99.538,"{""pumpfun"":-0.04853544008979256}"
20,60,40,4,2,0.9,0.7,42,0.428571,-0.03458764,2.380998,99.595,"{""pumpfun"":-0.03458763605085072}"
20,60,40,4,3,0.9,0.6,33,0.363636,-0.07473531,6.735731,88.545,"{""pumpfun"":-0.07473530513580093}"
20,60,40,4,3,0.9,0.65,35,0.371429,-0.06783703,5.852897,87.800,"{""pumpfun"":-0.06783702515289708}"
20,60,40,4,3,0.9,0.7,38,0.342105,-0.10307335,7.285981,89.947,"{""pumpfun"":-0.10307334874464619}"
20,60,45,2,2,0.9,0.6,31,0.387097,-0.05682718,4.868196,89.355,"{""pumpfun"":-0.05682717508316731}"
20,60,45,2,2,0.9,0.65,34,0.352941,-0.08320784,7.186118,87.353,"{""pumpfun"":-0.08320783804463908}"
20,60,45,2,2,0.9,0.7,40,0.425000,-0.04353325,4.560945,99.175,"{""pumpfun"":-0.043533252052365565}"
20,60,45,2,3,0.9,0.6,21,0.476190,0.02475007,1.692203,88.190,"{""pumpfun"":0.024750074451527347}"
20,60,45,2,3,0.9,0.65,23,0.478261,0.03033032,1.692203,86.739,"{""pumpfun"":0.030330318300924457}"
20,60,45,2,3,0.9,0.7,26,0.461538,0.01874241,1.692203,86.154,"{""pumpfun"":0.018742412419224582}"
20,60,45,3,2,0.9,0.6,31,0.387097,-0.05682718,4.868196,89.355,"{""pumpfun"":-0.05682717508316731}"
20,60,45,3,2,0.9,0.65,34,0.352941,-0.08320784,7.186118,87.353,"{""pumpfun"":-0.08320783804463908}"
20,60,45,3,2,0.9,0.7,40,0.425000,-0.04353325,4.560945,99.175,"{""pumpfun"":-0.043533252052365565}"
20,60,45,3,3,0.9,0.6,21,0.476190,0.02475007,1.692203,88.190,"{""pumpfun"":0.024750074451527347}"
20,60,45,3,3,0.9,0.65,23,0.478261,0.03033032,1.692203,86.739,"{""pumpfun"":0.030330318300924457}"
20,60,45,3,3,0.9,0.7,26,0.461538,0.01874241,1.692203,86.154,"{""pumpfun"":0.018742412419224582}"
20,60,45,4,2,0.9,0.6,31,0.387097,-0.05682718,4.868196,89.355,"{""pumpfun"":-0.05682717508316731}"
20,60,45,4,2,0.9,0.65,34,0.352941,-0.08320784,7.186118,87.353,"{""pumpfun"":-0.08320783804463908}"
20,60,45,4,2,0.9,0.7,40,0.425000,-0.04353325,4.560945,99.175,"{""pumpfun"":-0.043533252052365565}"
20,60,45,4,3,0.9,0.6,21,0.476190,0.02475007,1.692203,88.190,"{""pumpfun"":0.024750074451527347}"
20,60,45,4,3,0.9,0.65,23,0.478261,0.03033032,1.692203,86.739,"{""pumpfun"":0.030330318300924457}"
20,60,45,4,3,0.9,0.7,26,0.461538,0.01874241,1.692203,86.154,"{""pumpfun"":0.018742412419224582}"
20,60,50,2,2,0.9,0.6,31,0.354839,-0.08031555,6.116803,89.645,"{""pumpfun"":-0.08031554898519802}"
20,60,50,2,2,0.9,0.65,31,0.387097,-0.05682718,4.868196,89.355,"{""pumpfun"":-0.05682717508316731}"
20,60,50,2,2,0.9,0.7,35,0.342857,-0.09008862,7.551890,85.714,"{""pumpfun"":-0.09008861860990663}"
20,60,50,2,3,0.9,0.6,21,0.476190,0.02475007,1.692203,88.190,"{""pumpfun"":0.024750074451527347}"
20,60,50,2,3,0.9,0.65,21,0.476190,0.02475007,1.692203,88.190,"{""pumpfun"":0.024750074451527347}"
